"id","stateid","name","status","created_at","updated_at"
"865","29","Namakkal","1","2022-07-19 11:23:39","2022-07-19 11:23:39"
"866","29","Ooty","1","2022-07-19 11:23:58","2022-07-19 11:23:58"
"867","29","Pollachi","1","2022-07-19 11:24:23","2022-07-19 11:24:23"
"868","29","Thiruchengode","1","2022-07-19 11:25:10","2022-07-19 11:25:10"
"869","29","Tirupur","1","2022-07-19 11:25:45","2022-07-19 11:25:45"
"870","29","Udumalpettai","1","2022-07-19 11:26:01","2022-07-19 11:26:01"
"871","19","Betul","1","2022-07-26 11:06:10","2022-07-26 11:06:10"
"872","19","Datia","1","2022-07-26 11:06:29","2022-07-26 11:06:29"
"873","19","Sheopur","1","2022-07-26 11:10:20","2022-07-26 11:10:20"
"874","19","Ujjain","1","2022-07-26 11:39:52","2022-07-26 11:39:52"
"875","19","Dewas","1","2022-07-26 11:40:08","2022-07-26 11:40:08"
"876","19","Seoni","1","2022-07-26 11:49:00","2022-07-26 11:49:00"
"877","19","Barwani","1","2022-07-26 11:53:25","2022-07-26 11:53:25"
"878","19","Dhoti  Vindhyanagar","1","2022-07-26 12:09:49","2022-07-26 12:09:49"
"879","29","Tiruchirappalli","1","2022-07-28 11:53:27","2022-07-28 11:53:27"
"880","5","Kosli","1","2022-09-20 11:24:10","2022-09-20 11:24:10"
"881","5","Ellenabad","1","2022-09-20 11:29:55","2022-09-20 11:29:55"
"882","5","Narwana","1","2022-09-20 11:36:18","2022-09-20 11:36:18"
"883","5","Kundli","1","2022-09-20 11:38:32","2022-09-20 11:38:32"
"884","5","Charkhi dadri","1","2022-09-20 11:41:33","2022-09-20 11:41:33"
"885","5","Hayatpur","1","2022-09-22 11:15:47","2022-09-22 11:15:47"
"886","5","Hodal","1","2022-09-22 11:16:02","2022-09-22 11:16:02"
"887","5","Manesar","1","2022-09-22 11:16:21","2022-09-22 11:16:21"
"888","16","Chatra","1","2022-10-10 11:45:56","2022-10-10 11:45:56"
"889","16","Daltonganj","1","2022-10-10 11:48:12","2022-10-10 11:48:12"
"890","16","Garhwa","1","2022-10-10 11:51:35","2022-10-10 11:51:35"
"891","16","Lohardaga","1","2022-10-10 11:53:28","2022-10-10 11:53:28"
"892","16","Koderma","1","2022-10-10 11:55:21","2022-10-10 11:55:21"
"893","16","Godda","1","2022-10-10 11:56:46","2022-10-10 11:56:46"
"894","16","Madhupur","1","2022-10-10 11:59:52","2022-10-10 11:59:52"
"895","16","Mahagama","1","2022-10-10 12:03:21","2022-10-10 12:03:21"
"896","16","Rajdhanwar","1","2022-10-10 12:07:30","2022-10-10 12:07:30"
"897","16","Barharwa","1","2022-10-10 12:07:50","2022-10-10 12:07:50"
"898","16","Ghatsila","1","2022-10-10 12:08:49","2022-10-10 12:08:49"
"899","16","Jaintgarh","1","2022-10-10 12:09:15","2022-10-10 12:09:15"
"900","27","Alwar","1","2022-10-20 05:27:04","2022-10-20 05:27:04"
"901","7","Anakapalle","1","2022-11-01 07:07:36","2022-11-01 07:07:36"
"902","7","Badvel","1","2022-11-01 07:15:35","2022-11-01 07:15:35"
"903","7","Kanigiri","2","2022-11-01 07:52:54","2022-11-01 07:52:54"
"904","7","Madanapalle","1","2022-11-01 07:56:27","2022-11-01 07:56:27"
"905","7","Maduravada","1","2022-11-01 07:57:53","2022-11-01 07:57:53"
"906","7","Narsipatnam","1","2022-11-01 08:05:34","2022-11-01 08:05:34"
"907","7","Peddapuram","1","2022-11-01 08:19:20","2022-11-01 08:19:20"
"908","7","Pulivendula","1","2022-11-01 08:31:05","2022-11-01 08:31:05"
"909","7","Tanuku","1","2022-11-01 08:46:12","2022-11-01 08:46:12"
"910","7","Yemmiganur","1","2022-11-01 09:07:01","2022-11-01 09:07:01"
"911","10","Nalanda","1","2022-11-25 08:41:37","2022-11-25 08:41:37"
"913","10","Phulwari","1","2023-01-04 06:33:00","2023-01-04 06:33:00"
"914","32","Ayodhya","1","2023-01-04 10:47:00","2023-01-05 07:59:37"
"915","32","Sitapur","1","2023-01-04 10:58:51","2023-01-05 07:59:52"
"916","32","Akbarpur","1","2023-01-04 11:28:16","2023-01-05 07:59:55"
"917","32","Farrukhabad","1","2023-01-04 11:34:43","2023-01-05 07:59:59"
"918","32","Banda","1","2023-01-05 08:08:27","2023-01-05 08:08:27"
"919","32","Fatehpur","1","2023-01-05 08:10:24","2023-01-05 08:10:24"
"920","32","Kannauj","1","2023-01-05 08:12:00","2023-01-05 08:12:00"
"921","32","Unnao","1","2023-01-05 08:12:38","2023-01-05 08:12:38"
"922","32","Baberu","1","2023-01-05 08:13:04","2023-01-05 08:13:04"
"923","32","Chitrkoot","1","2023-01-05 08:13:32","2023-01-05 08:13:32"
"924","32","Sultanpur","1","2023-01-05 08:14:11","2023-01-05 08:14:11"
"925","32","Prayagraj","1","2023-01-05 08:33:26","2023-01-05 08:33:26"
"926","32","Pilibhit","1","2023-01-05 09:44:01","2023-01-05 09:44:01"
"927","32","Lakhimpur","1","2023-01-05 09:46:43","2023-01-05 09:46:43"
"928","32","Chakia","1","2023-01-05 09:51:35","2023-01-05 09:51:35"
"929","32","Budaun","1","2023-01-05 09:52:03","2023-01-05 09:52:03"
"930","32","Palia Kalan","1","2023-01-05 09:52:19","2023-01-05 09:52:19"
"931","32","Hardoi","1","2023-01-05 09:55:44","2023-01-05 09:55:44"
"932","32","Shahajanpur","1","2023-01-05 09:56:07","2023-01-05 09:56:07"
"933","32","Bhatani","1","2023-01-05 09:56:32","2023-01-05 09:56:32"
"934","32","Deoria","1","2023-01-05 09:56:59","2023-01-05 09:56:59"
"935","32","Khalilabad","1","2023-01-05 10:04:15","2023-01-05 10:04:15"
"936","32","Basti","1","2023-01-05 10:04:39","2023-01-05 10:04:39"
"937","32","Maharajganj","1","2023-01-05 10:06:00","2023-01-05 10:06:00"
"938","32","Padrauna","1","2023-01-05 10:06:27","2023-01-05 10:06:27"
"939","32","Kushinagar","1","2023-01-05 10:06:43","2023-01-05 10:06:43"
"940","32","Bhadohi","1","2023-01-05 10:22:33","2023-01-05 10:22:33"
"941","32","Mirzapur","1","2023-01-05 10:22:56","2023-01-05 10:22:56"
"942","32","Suriyawan","1","2023-01-05 10:23:15","2023-01-05 10:23:15"
"943","32","Robertsganj","1","2023-01-05 10:24:14","2023-01-05 10:24:14"
"944","32","Renukoot","1","2023-01-05 10:24:41","2023-01-05 10:24:41"
"945","32","Chandauli","1","2023-01-05 10:24:58","2023-01-05 10:24:58"
"946","32","Ghazipur","1","2023-01-05 10:25:33","2023-01-05 10:25:33"
"947","32","Ballia","1","2023-01-05 10:26:05","2023-01-05 10:26:05"
"948","32","Jaunpur","1","2023-01-05 10:26:50","2023-01-05 10:26:50"
"949","32","Mau","1","2023-01-05 10:27:05","2023-01-05 10:27:05"
"950","32","Azamgarh","1","2023-01-05 10:27:17","2023-01-05 10:27:17"
"951","32","Bahraich","1","2023-01-05 10:27:35","2023-01-05 10:27:35"
"952","32","Gonda","1","2023-01-05 10:41:57","2023-01-05 10:41:57"
"953","32","Balrampur","1","2023-01-05 10:42:26","2023-01-05 10:42:26"
"954","11","Sitapur","2","2023-01-09 12:13:04","2023-01-09 12:13:04"
"955","27","Dungarpur","1","2023-02-07 10:53:51","2023-02-07 10:53:51"
