"id","category_id","product_name","sku","alias","product_description","product_specs","product_size","product_thickness","product_ply","product_id","price","weight","sale_price","s_start_date","s_end_date","sp_status","thumb_image","big_image","himage","pdf","seo_title","seo_keywords","seo_description","p_quantity","status","cdate","ordering","p_color","related_product","product_life","NewArrivals","Exclusive","Promotion","AmazingOffers","popular","short_desc","additional_information","neworold"
"635","13","Dyed Oak Grey ","NV-D806","dyed-oak-grey",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D806-dyed-oak-grey.jpg","NV-D806-dyed-oak-grey.jpg",,,"Dyed Oak Grey","Dyed Oak Grey","Dyed Oak Grey","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"636","13","Dyed Platinum Grey","NV-D832","dyed-platinum-grey",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D832-dyed-platinum-grey.jpg","NV-D832-dyed-platinum-grey.jpg",,,"Dyed Platinum Grey","Dyed Platinum Grey","Dyed Platinum Grey","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"637","13","Dyed White Ash Grey","NV-D829","dyed-white-ash-grey",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D829-Dyed-White-Ash-Grey.jpg","NV-D829-Dyed-White-Ash-Grey.jpg",,,"Dyed White Ash Grey","Dyed White Ash Grey","Dyed White Ash Grey","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"638","13","Dyed Bright Fig. Silver Grey","NV-D13","dyed-bright-fig-silver-grey",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D13-dyed-bright-figure-silver-grey.jpg","NV-D13-dyed-bright-figure-silver-grey.jpg",,,"Dyed Bright Fig. Silver Grey","Dyed Bright Fig. Silver Grey","Dyed Bright Fig. Silver Grey","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"639","13","Dyed Fig. Maple Grey","NV-D808","dyed-fig-maple-grey",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D808-dyed-figured-maple-grey.jpg","NV-D808-dyed-figured-maple-grey.jpg",,,"Dyed Fig. Maple Grey","Dyed Fig. Maple Grey","Dyed Fig. Maple Grey","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"640","13","Dyed Koto Superior White","NV-D066","dyed-koto-superior-white",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D066-dyed-koto-superior-white.jpg","NV-D066-dyed-koto-superior-white.jpg",,,"Dyed Koto Superior White","Dyed Koto Superior White","Dyed Koto Superior White","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"641","13","Dyed Fig. Eucalyptus Beige","NV-D828","dyed-fig-eucalyptus-beige",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D828-dyed-figured-eucalyptus-beige.jpg","NV-D828-dyed-figured-eucalyptus-beige.jpg",,,"Dyed Fig. Eucalyptus Beige","Dyed Fig. Eucalyptus Beige","Dyed Fig. Eucalyptus Beige","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"642","13","Dyed Koto Light Coffee","NV-DI21","dyed-koto-light-coffee",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-DI21-dyed-koto-light-coffee.jpg","NV-DI21-dyed-koto-light-coffee.jpg",,,"Dyed Koto Light Coffee","Dyed Koto Light Coffee","Dyed Koto Light Coffee","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"643","13","Dyed Chen Chen Brown","NV-D827","dyed-chen-chen-brown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D827-dyed-chen-chen-brown.jpg","NV-D827-dyed-chen-chen-brown.jpg",,,"Dyed Chen Chen Brown","Dyed Chen Chen Brown","Dyed Chen Chen Brown","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"644","13","Dyed Koto Coffee","NV-D120","dyed-koto-coffee",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D120-dyed-koto-coffee.jpg","NV-D120-dyed-koto-coffee.jpg",,,"Dyed Koto Coffee","Dyed Koto Coffee","Dyed Koto Coffee","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"645","13","Dyed Chen Chen Light Brown","NV-D830","dyed-chen-chen-light-brown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D830-dyed-chen-chen-light-brown.jpg","NV-D830-dyed-chen-chen-light-brown.jpg",,,"Dyed Chen Chen Light Brown","Dyed Chen Chen Light Brown","Dyed Chen Chen Light Brown","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"646","13","Dyed Platinum Brown","NV-D168","dyed-platinum-brown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D168-dyed-platinium-brown.jpg","NV-D168-dyed-platinium-brown.jpg",,,"Dyed Platinum Brown","Dyed Platinum Brown","Dyed Platinum Brown","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"647","13","Dyed Oak Brown","NV-D813","dyed-oak-brown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-D813-dyed-oak-brown.jpg","NV-D813-dyed-oak-brown.jpg",,,"Dyed Oak Brown","Dyed Oak Brown","Dyed Oak Brown","0","1","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"648","55","DYED SYCAMORE CROWN","FA97X","dyed-sycamore-crown",,,"10ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","FA97-new.jpg","FA97-new.jpg",,,"DYED SYCAMORE CROWN","DYED SYCAMORE CROWN","DYED SYCAMORE CROWN","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","1"
"649","55","CALIFORNIA WALNUT","FA98X","california-walnut",,,"10ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","FA98-new.jpg","FA98-new.jpg",,,"DYED SYCAMORE CROWN ICE WHITE","CALIFORNIA WALNUT","CALIFORNIA WALNUT","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","1"
"650","55","NATURAL MAPLE DF","FA94X","natural-maple-dyed-figured",,,"10ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","FA94--new.jpg","FA94--new.jpg",,,"NATURAL MAPLE DF","NATURAL MAPLE DF","NATURAL MAPLE DF","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","1"
