,State,document_id,Location,Brand,Product ,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
,ROM,ovhhwugrqp35xqou86kot42j,Pune,Sainik MR,Plywood,6,8,4,1303,100,1403,252.46,1655,71,19,1403,0,24401220,6,15,1,2,0,1,14,0000-00-00 00:00:00
,ROM,ovhhwugrqp35xqou86kot42j,Pune,Sainik MR,Plywood,8,8,4,1553,100,1653,297.62,1951,72,19,1653,0,24401220,8,15,1,2,0,1,14,0000-00-00 00:00:00
,ROM,ovhhwugrqp35xqou86kot42j,Pune,Sainik MR,Plywood,12,8,4,1876,100,1976,355.7,2332,73,19,1976,0,24401220,12,15,1,2,0,1,14,0000-00-00 00:00:00
,ROM,ovhhwugrqp35xqou86kot42j,Pune,Sainik MR,Plywood,15,8,4,2276,100,2376,427.75,2804,74,19,2376,0,24401220,15,15,1,2,0,1,14,0000-00-00 00:00:00
,ROM,ovhhwugrqp35xqou86kot42j,Pune,Sainik MR,Plywood,18,8,4,2689,100,2789,501.95,3291,75,19,2789,0,24401220,18,15,1,2,0,1,14,0000-00-00 00:00:00
,Vidharba,ovhhwugrqp35xqou86kot42j,Nagpur,Sainik MR,Plywood,6,8,4,1303,100,1403,252.46,1655,76,19,1403,0,24401220,6,16,1,2,0,1,14,0000-00-00 00:00:00
,Vidharba,ovhhwugrqp35xqou86kot42j,Nagpur,Sainik MR,Plywood,8,8,4,1553,100,1653,297.62,1951,77,19,1653,0,24401220,8,16,1,2,0,1,14,0000-00-00 00:00:00
,Vidharba,ovhhwugrqp35xqou86kot42j,Nagpur,Sainik MR,Plywood,12,8,4,1876,100,1976,355.7,2332,78,19,1976,0,24401220,12,16,1,2,0,1,14,0000-00-00 00:00:00
,Vidharba,ovhhwugrqp35xqou86kot42j,Nagpur,Sainik MR,Plywood,15,8,4,2276,100,2376,427.75,2804,79,19,2376,0,24401220,15,16,1,2,0,1,14,0000-00-00 00:00:00
,Vidharba,ovhhwugrqp35xqou86kot42j,Nagpur,Sainik MR,Plywood,18,8,4,2689,100,2789,501.95,3291,80,19,2789,0,24401220,18,16,1,2,0,1,14,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,Sainik MR,Plywood,6,8,4,1236,100,1336,240.53,1577,81,19,1336,0,24401220,6,17,1,2,0,1,17,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,Sainik MR,Plywood,8,8,4,1462,100,1562,281.24,1844,82,19,1562,0,24401220,8,17,1,2,0,1,17,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,Sainik MR,Plywood,12,8,4,1791,100,1891,340.4,2232,83,19,1891,0,24401220,12,17,1,2,0,1,17,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,Sainik MR,Plywood,15,8,4,2259,100,2359,424.54,2783,84,19,2359,0,24401220,15,17,1,2,0,1,17,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,Sainik MR,Plywood,18,8,4,2530,100,2630,473.39,3103,85,19,2630,0,24401220,18,17,1,2,0,1,17,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,Sainik MR,Plywood,6,8,4,1236,100,1336,240.53,1577,86,19,1336,0,24401220,6,18,1,2,0,1,17,0000-00-00 00:00:00
