Zone,State,document_id,city,city_document_id,product_name,Thickness,Length,Width,new_price
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1905,686,"3,415"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1981,686,"3,171"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2057,686,"2,927"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2134,686,"2,683"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2210,686,"2,439"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2286,686,"2,195"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1905,762,"3,293"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1981,762,"2,823"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2057,762,"2,588"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2134,762,"2,509"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2210,762,"2,352"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2286,762,"2,117"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2438,762,"2,718"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1905,838,"2,265"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1981,838,"2,039"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2057,838,"2,492"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2134,838,"3,058"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2210,838,"1,952"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2286,838,"3,511"
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2438,838,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1905,914,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1981,914,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2057,914,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2134,914,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2210,914,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2286,914,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2438,914,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1905,991,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1981,991,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2057,991,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2134,991,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2210,991,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2286,991,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,1981,1067,
,Gujrat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,q0v754t0v18w76txazyliha9,sainik door,30,2057,1067,
