Zone,State,document_id,Location,product,category,,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Lucknow,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4259,100,4359,784.64,5144,20,2,4359,0,24401220,19,4,1,2,0,1,3,0000-00-00 00:00:00
North,Punjab,ohu0agqyqak53av22sh7b8dv,Ludhiana,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1881,100,1981,356.6,2338,21,2,1981,0,24401220,6,5,1,2,0,1,5,0000-00-00 00:00:00
North,Punjab,ohu0agqyqak53av22sh7b8dv,Ludhiana,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2340,100,2440,439.12,2879,22,2,2440,0,24401220,9,5,1,2,0,1,5,0000-00-00 00:00:00
North,Punjab,ohu0agqyqak53av22sh7b8dv,Ludhiana,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2961,100,3061,550.92,3612,23,2,3061,0,24401220,12,5,1,2,0,1,5,0000-00-00 00:00:00
North,Punjab,ohu0agqyqak53av22sh7b8dv,Ludhiana,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3682,100,3782,680.82,4463,24,2,3782,0,24401220,16,5,1,2,0,1,5,0000-00-00 00:00:00
North,Punjab,ohu0agqyqak53av22sh7b8dv,Ludhiana,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4259,100,4359,784.64,5144,25,2,4359,0,24401220,19,5,1,2,0,1,5,0000-00-00 00:00:00
North,Rajasthan,xuzluw9vmvanj1x68j0e8kim,Jaipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1881,100,1981,356.6,2338,26,2,1981,0,24401220,6,6,1,2,0,1,6,0000-00-00 00:00:00
North,Rajasthan,xuzluw9vmvanj1x68j0e8kim,Jaipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2340,100,2440,439.12,2879,27,2,2440,0,24401220,9,6,1,2,0,1,6,0000-00-00 00:00:00
North,Rajasthan,xuzluw9vmvanj1x68j0e8kim,Jaipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2961,100,3061,550.92,3612,28,2,3061,0,24401220,12,6,1,2,0,1,6,0000-00-00 00:00:00
North,Rajasthan,xuzluw9vmvanj1x68j0e8kim,Jaipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3682,100,3782,680.82,4463,29,2,3782,0,24401220,16,6,1,2,0,1,6,0000-00-00 00:00:00
North,Rajasthan,xuzluw9vmvanj1x68j0e8kim,Jaipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4259,100,4359,784.64,5144,30,2,4359,0,24401220,19,6,1,2,0,1,6,0000-00-00 00:00:00
North,Maharashtra,ovhhwugrqp35xqou86kot42j,Indore,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1943,100,2043,367.78,2411,31,2,2043,0,24401220,6,7,1,2,0,1,7,0000-00-00 00:00:00
