product_id,Kolkata,BBSR,Guwahati,Mumbai,Patna,Ranchi,Raipur,Lucknow,Indore,Nagpur,Pune,Bangalore,Hubli,Goa,Hyderabad,Gujarat,Chennai,Coimbatore,Kochi,Delhi,Gurgaon,Haryana,Ghaziabad,Ludhiana,Rajasthan,Uttarakhand
y98ts4u7zsyhwsz9iocfbab1,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
b1ymiecqf1rr7isvk8vpz04n,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
uftq61ukm2kbsv3vn2ove6op,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
wp4wep9y1siloh2pn99w00k4,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
ls3zccjj14ik1zui1hvjae8v,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
mrq6ayihc9bv88d5xdka8uyv,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
yu3e1otion0otkns7shguaa4,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
cod1aebc7ow84oi2rls7yzka,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
k27ijjkd9yeklgozt39lm34x,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
z5pi19s4kj1jkw57t1ypnmjq,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
